Authors;Title;Year;Volume;Issue;Start Page;End Page;Abstract;DOI;Author Keywords;Publication Title;Link;Database;Title_lower
Stanislas Quesada and Frédérique Penault-Llorca and Xavier Matias-Guiu and Susana Banerjee and Massimo Barberis and Robert L. Coleman and Nicoletta Colombo and Anna DeFazio and Iain A. McNeish and Angélica Nogueira-Rodrigues and Ana Oaknin and Sandro Pignata and Éric Pujade-Lauraine and Étienne Rouleau and Aleš Ryška and Nerina {Van Der Merwe} and Toon {Van Gorp} and Ignace Vergote and Wilko Weichert and Xiaohua Wu and Isabelle Ray-Coquard and Pascal Pujol;Homologous recombination deficiency in ovarian cancer: Global expert consensus on testing and a comparison of companion diagnostics;2025;215;Desconocido;115169;Desconocido;"Background
Poly (ADP ribose) polymerase inhibitors (PARPis) are a treatment option for patients with advanced high-grade serous or endometrioid ovarian carcinoma (OC). Recent guidelines have clarified how homologous recombination deficiency (HRD) may influence treatment decision-making in this setting. As a result, numerous companion diagnostic assays (CDx) have been developed to identify HRD. However, the optimal HRD testing strategy is an area of debate. Moreover, recently published clinical and translational data may impact how HRD status may be used to identify patients likely to benefit from PARPi use. We aimed to extensively compare available HRD CDx and establish a worldwide expert consensus on HRD testing in primary and recurrent OC.
Methods
A group of 99 global experts from 31 different countries was formed. Using a modified Delphi process, the experts aimed to establish consensus statements based on a systematic literature search and CDx information sought from investigators, companies and/or publications.
Results
Technical information, including analytical and clinical validation, were obtained from 14 of 15 available HRD CDx (7 academic; 7 commercial). Consensus was reached on 36 statements encompassing the following topics: 1) the predictive impact of HRD status on PARPi use in primary and recurrent OC; 2) analytical and clinical validation requirements of HRD CDx; 3) resource-stratified HRD testing; and 4) how future CDx may include additional approaches to help address unmet testing needs.
Conclusion
This manuscript provides detailed information on currently available HRD CDx and up-to-date guidance from global experts on HRD testing in patients with primary and recurrent OC.";https://doi.org/10.1016/j.ejca.2024.115169;"BRCA; Companion diagnostic assays; Genomic instability; Homologous recombination deficiency; Ovarian cancer; PARP inhibitor";European Journal of Cancer;https://www.sciencedirect.com/science/article/pii/S0959804924017763;ScienceDirect;homologous recombination deficiency in ovarian cancer: global expert consensus on testing and a comparison of companion diagnostics
Shelby K. Reid and Miranda E. Leal-Garcia and Ashley V. Tran and Nicole T. Rehtmeyer and Isha S. Shirvaikar and Megan A. Kirchhoff and Alyson O. Narvaez and Dylan A. McCreedy;Recombinant human DNase treatment mitigates extracellular trap mediated damage and improves long-term recovery after spinal cord injury in male mice;2025;128;Desconocido;456;468;"After traumatic spinal cord injury (SCI), inflammation and other reactive processes exacerbate tissue damage and impair long-term motor recovery. Extracellular traps (ETs) are an immune cell effector function first described in neutrophils wherein chromatin is decondensed, decorated with cytotoxic granule enzymes, and expelled from the cell body. Recently, ETs have been linked to poor functional outcomes in SCI; however, translatable agents to prevent ET-mediated damage after SCI have yet to be explored. We assessed recombinant human (rh) DNase (trade name Pulmozyme) as a potential therapeutic that could be repurposed to break down ETs after SCI. To determine the timing of treatment, we characterized the timeline of ET formation in a thoracic contusion model of SCI in mice. We found that ETs levels increased in the injured spinal cord by 4 h post injury (hpi), peaking within 24 hpi. When rhDNase was administered at 1 hpi, DNase activity in the serum remained elevated for 24 hpi with a corresponding increase in circulating ET fragments. At 6 hpi, blood-spinal cord barrier permeability was attenuated in rhDNase-treated animals. Long-term functional hind limb recovery, as assessed by the ladder rung walking test, was improved at 35 dpi in rhDNase-treated animals compared to vehicle-treated controls. RhDNase-treated animals also exhibited shorter SCI lesion lengths at 35 dpi. Altogether, our data demonstrate the potential of rhDNase as an anti-ET therapeutic to improve long-term SCI outcomes.";https://doi.org/10.1016/j.bbi.2025.04.033;"Spinal Cord Injury; Neurotrauma; Neuroinflammation; Innate Immunity; Neutrophils; Neutrophil Extracellular Traps; DNases; Functional Motor Recovery";Brain, Behavior, and Immunity;https://www.sciencedirect.com/science/article/pii/S0889159125001692;ScienceDirect;recombinant human dnase treatment mitigates extracellular trap mediated damage and improves long-term recovery after spinal cord injury in male mice
Tzu-Hua Wang and Hui Tian;Measuring early engineering interest: A scale for kindergarteners;2026;59;Desconocido;101985;Desconocido;"Early engineering interest (EEI) plays a key role in promoting children’s engineering learning in later stages, and children with EEI are likely to later consider engineering as a career choice. Thus, EEI development can provide a crucial foundation for talent training in science, technology, engineering, and mathematics. The present study (1) explored the potential constructs of young children’s EEI and (2) developed an age-appropriate EEI scale. Using this instrument, early childhood engineering education researchers, curriculum developers, and educators can obtain a clearer understanding of children’s EEI. An EEI scale was developed; children aged between 5 and 6 years were selected as pretest participants. Exploratory factor analysis and confirmatory factor analysis were conducted using Mplus 8.3 to verify the reliability and validity of the EEI scale. This study provided evidence indicating the reliability and validity of the EEI scale for measuring kindergarteners’ EEI.";https://doi.org/10.1016/j.tsc.2025.101985;"Early engineering interest; Engineering material interest; Engineering theme interest; Kindergarteners; Latent variable modelling";Thinking Skills and Creativity;https://www.sciencedirect.com/science/article/pii/S1871187125002342;ScienceDirect;measuring early engineering interest: a scale for kindergarteners
Xukai Zhang and Nan Zhang and Jingyuan Lin and Wuji Lin and Zongling He and Hong Li;Neural and behavioral signatures of feedback-based adjustment bias in response to infant cries;2025;218;Desconocido;109253;Desconocido;"Infant crying is a critical signal that prompts caregiving, yet the neurobehavioral mechanisms underlying how individuals adapt to feedback in this context are underexplored. Here, in 34 young adults (18 female; age from 19 to 26 years) with no prior caregiving experience, we used an infant cry feedback paradigm to characterize individual differences in behavioral adjustment and their neural correlates. Participants judged the cause of infant cries while their reaction time changes (ΔRT) and EEG were recorded. Our results revealed context-specific adjustment biases unique to infant cries, distinct from responses to animal vocalizations. Within the infant crying context, a negative-feedback bias (slowing after negative feedback) correlated with higher self-reported caregiving sensitivity, whereas a positive-feedback bias (slowing after positive feedback) correlated with lower caregiving motivation. Inter-subject representational similarity analysis (IS-RSA) further revealed a key asymmetry in neural responses, showing that higher negative-feedback bias was associated with greater inter-subject neural similarity during negative feedback (480–1000 ms) and positive feedback (600–700 ms), whereas higher positive-feedback bias was associated with more idiosyncratic neural patterns. Furthermore, a mediation analysis showed that the influence of the Late Positive Potential (LPP) on caregiving sensitivity was fully mediated by these behavioral adjustments, where lower LPP amplitudes predicted greater slowing after negative feedback, which in turn predicted higher intended infant caregiving sensitivity. These findings link specific behavioral adjustments to an asymmetric neural similarity structure, offering potential markers for caregiving dispositions and highlighting the importance of feedback processing in caregiver-infant interactions.";https://doi.org/10.1016/j.neuropsychologia.2025.109253;"Infant cry; Adjustment bias; Feedback processing; EEG; Caregiving response";Neuropsychologia;https://www.sciencedirect.com/science/article/pii/S0028393225001885;ScienceDirect;neural and behavioral signatures of feedback-based adjustment bias in response to infant cries
Pablo López-Aguilar and Carlota Urruela and Edgar Batista and Juvenal Machin and Agusti Solanas;Phishing vulnerability and personality traits: Insights from a systematic review;2025;20;Desconocido;100784;Desconocido;Phishing attacks have gained prominence and effectiveness over the years. Although many efforts are devoted to combat them, generic anti-phishing awareness and training campaigns have shown limited success. In this context, considering individuals’ personality traits in relation to phishing behaviour could significantly enhance cybersecurity defence strategies. In this article, we concentrate on personality traits and their effects on vulnerability to phishing attacks. We implement a rigorous systematic review following the methodology proposed by vom Brocke et al. (2009) along with the PRISMA statement. We searched five major databases (i.e., Web of Science, Scopus, IEEE Xplore, ACM Digital Library, and PubMed), with an all-years’ time span from 1900 to January 2025. From the 1919 articles yielded in the initial search, 26 satisfied all criteria. Results reveal that extraversion, agreeableness, and neuroticism generally show a positive association with phishing vulnerability, whereas conscientiousness emerges as a protective factor. The review also highlights significant gaps in the current methodologies used to measure phishing vulnerability, noting a lack of standardised measurement tools to perform phishing experiments. Finally, this study underscores the need to develop secondary prevention strategies targeting at-risk groups to combat the increasingly sophisticated phishing threats. To enhance consistency in future research, the Appendix includes guidelines for measuring phishing vulnerability under experimental conditions.;https://doi.org/10.1016/j.chbr.2025.100784;"Big Five personality traits; Phishing vulnerability; Systematic review; Phishing experiments; Cybercrime prevention";Computers in Human Behavior Reports;https://www.sciencedirect.com/science/article/pii/S245195882500199X;ScienceDirect;phishing vulnerability and personality traits: insights from a systematic review
Yucong Lao and Noora Hirvonen and Stefan Larsson;Everyday encounters with deepfakes: young people’s media and information literacy practices with AI-generated media;2024;81;7;216;235;"Purpose
This research aims to contribute to the knowledge related to youth’s media and information literacy (MIL) practices when encountering artificial intelligence (AI)-generated media in their everyday life. It specifically examines young people’s engagement with and understanding of deepfakes, seeking to explore their practices for navigating deepfakes in a daily setting.
Design/methodology/approach
Employing a qualitative research strategy, in-depth interviews were conducted to collect empirical material from 20 young participants aged 14–15 years. The empirical data were coded both inductively and deductively, leading to the identification of young people’s doings and sayings as they encounter, respond to and understand deepfakes.
Findings
The findings highlight the young participants’ serendipitous exposure to, and subsequent engagement with, deepfake content in their everyday lives, particularly through the situations, platforms and types of content in which these encounters occurred. While interaction with deepfake content was mostly characterized as casual, there are also more active responses to encountering deepfakes. Additionally, the results shed light on the participants’ understandings of deepfakes, particularly in terms of content creation, societal impact and underlying AI techniques. This understanding is proposed as a critical sub-element within the MIL framework in this study.
Originality/value
This study stresses the complexities of young people’s everyday MIL practices with emerging media, pointing to the inherent challenges they face in navigating an increasingly complicated information landscape.";https://doi.org/10.1108/JD-01-2025-0007;"Media and information literacy; Information practice; Generative AI; AI-generated media; Deepfake; Young people";Journal of Documentation;https://www.sciencedirect.com/science/article/pii/S0022041825000025;ScienceDirect;everyday encounters with deepfakes: young people’s media and information literacy practices with ai-generated media
Wen Ma and Qingsong Liu;Language and health studies in the era of holistic health: Achievements and prospects;2023;1;2;1;11;Language and health studies is scientific, pioneering and promising in nature given the close yet intricate relationship between human’s language and health. A diverse range of research topics encompasses the panorama of language and health studies, with the overarching objective of promoting the holistic well-being of individuals across the entire spectrum of age demographics, spanning from children, through adults, to the elderly. The present systematic review corroborates a flourishing trajectory of language and health research over the past three decades. Language disorders and speech-language pathology are among the most critical research topics in the field, with a primary focus on diagnosis and intervention. There are also rich investigations of language and mental health disorders in atypical populations. Clinical analysis, applied conversation analysis and narrative medicine are the three important approaches to the examination of communication in medical and healthcare interactions, which is crucial to public health promotion. The application of cutting-edge technologies and interdisciplinary cooperation can provide innovative solutions to the difficulties and challenges that arise in this field.;https://doi.org/10.1016/j.laheal.2023.11.001;"Language and health study; Language disorder; Speech-language pathology; Mental health disorder; Communication in medical settings; Public health promotion; Interdisciplinary";Language and Health;https://www.sciencedirect.com/science/article/pii/S2949903823000362;ScienceDirect;language and health studies in the era of holistic health: achievements and prospects
Stanislas Quesada and Frédérique Penault-Llorca and Xavier Matias-Guiu and Susana Banerjee and Massimo Barberis and Robert L. Coleman and Nicoletta Colombo and Anna DeFazio and Iain A. McNeish and Angélica Nogueira-Rodrigues and Ana Oaknin and Sandro Pignata and Éric Pujade-Lauraine and Étienne Rouleau and Aleš Ryška and Nerina {Van Der Merwe} and Toon {Van Gorp} and Ignace Vergote and Wilko Weichert and Xiaohua Wu and Isabelle Ray-Coquard and Pascal Pujol;Homologous recombination deficiency in ovarian cancer: Global expert consensus on testing and a comparison of companion diagnostics;2025;215;Desconocido;115169;Desconocido;"Background
Poly (ADP ribose) polymerase inhibitors (PARPis) are a treatment option for patients with advanced high-grade serous or endometrioid ovarian carcinoma (OC). Recent guidelines have clarified how homologous recombination deficiency (HRD) may influence treatment decision-making in this setting. As a result, numerous companion diagnostic assays (CDx) have been developed to identify HRD. However, the optimal HRD testing strategy is an area of debate. Moreover, recently published clinical and translational data may impact how HRD status may be used to identify patients likely to benefit from PARPi use. We aimed to extensively compare available HRD CDx and establish a worldwide expert consensus on HRD testing in primary and recurrent OC.
Methods
A group of 99 global experts from 31 different countries was formed. Using a modified Delphi process, the experts aimed to establish consensus statements based on a systematic literature search and CDx information sought from investigators, companies and/or publications.
Results
Technical information, including analytical and clinical validation, were obtained from 14 of 15 available HRD CDx (7 academic; 7 commercial). Consensus was reached on 36 statements encompassing the following topics: 1) the predictive impact of HRD status on PARPi use in primary and recurrent OC; 2) analytical and clinical validation requirements of HRD CDx; 3) resource-stratified HRD testing; and 4) how future CDx may include additional approaches to help address unmet testing needs.
Conclusion
This manuscript provides detailed information on currently available HRD CDx and up-to-date guidance from global experts on HRD testing in patients with primary and recurrent OC.";https://doi.org/10.1016/j.ejca.2024.115169;"BRCA; Companion diagnostic assays; Genomic instability; Homologous recombination deficiency; Ovarian cancer; PARP inhibitor";European Journal of Cancer;https://www.sciencedirect.com/science/article/pii/S0959804924017763;ScienceDirect;homologous recombination deficiency in ovarian cancer: global expert consensus on testing and a comparison of companion diagnostics
Shelby K. Reid and Miranda E. Leal-Garcia and Ashley V. Tran and Nicole T. Rehtmeyer and Isha S. Shirvaikar and Megan A. Kirchhoff and Alyson O. Narvaez and Dylan A. McCreedy;Recombinant human DNase treatment mitigates extracellular trap mediated damage and improves long-term recovery after spinal cord injury in male mice;2025;128;Desconocido;456;468;"After traumatic spinal cord injury (SCI), inflammation and other reactive processes exacerbate tissue damage and impair long-term motor recovery. Extracellular traps (ETs) are an immune cell effector function first described in neutrophils wherein chromatin is decondensed, decorated with cytotoxic granule enzymes, and expelled from the cell body. Recently, ETs have been linked to poor functional outcomes in SCI; however, translatable agents to prevent ET-mediated damage after SCI have yet to be explored. We assessed recombinant human (rh) DNase (trade name Pulmozyme) as a potential therapeutic that could be repurposed to break down ETs after SCI. To determine the timing of treatment, we characterized the timeline of ET formation in a thoracic contusion model of SCI in mice. We found that ETs levels increased in the injured spinal cord by 4 h post injury (hpi), peaking within 24 hpi. When rhDNase was administered at 1 hpi, DNase activity in the serum remained elevated for 24 hpi with a corresponding increase in circulating ET fragments. At 6 hpi, blood-spinal cord barrier permeability was attenuated in rhDNase-treated animals. Long-term functional hind limb recovery, as assessed by the ladder rung walking test, was improved at 35 dpi in rhDNase-treated animals compared to vehicle-treated controls. RhDNase-treated animals also exhibited shorter SCI lesion lengths at 35 dpi. Altogether, our data demonstrate the potential of rhDNase as an anti-ET therapeutic to improve long-term SCI outcomes.";https://doi.org/10.1016/j.bbi.2025.04.033;"Spinal Cord Injury; Neurotrauma; Neuroinflammation; Innate Immunity; Neutrophils; Neutrophil Extracellular Traps; DNases; Functional Motor Recovery";Brain, Behavior, and Immunity;https://www.sciencedirect.com/science/article/pii/S0889159125001692;ScienceDirect;recombinant human dnase treatment mitigates extracellular trap mediated damage and improves long-term recovery after spinal cord injury in male mice
Tzu-Hua Wang and Hui Tian;Measuring early engineering interest: A scale for kindergarteners;2026;59;Desconocido;101985;Desconocido;"Early engineering interest (EEI) plays a key role in promoting children’s engineering learning in later stages, and children with EEI are likely to later consider engineering as a career choice. Thus, EEI development can provide a crucial foundation for talent training in science, technology, engineering, and mathematics. The present study (1) explored the potential constructs of young children’s EEI and (2) developed an age-appropriate EEI scale. Using this instrument, early childhood engineering education researchers, curriculum developers, and educators can obtain a clearer understanding of children’s EEI. An EEI scale was developed; children aged between 5 and 6 years were selected as pretest participants. Exploratory factor analysis and confirmatory factor analysis were conducted using Mplus 8.3 to verify the reliability and validity of the EEI scale. This study provided evidence indicating the reliability and validity of the EEI scale for measuring kindergarteners’ EEI.";https://doi.org/10.1016/j.tsc.2025.101985;"Early engineering interest; Engineering material interest; Engineering theme interest; Kindergarteners; Latent variable modelling";Thinking Skills and Creativity;https://www.sciencedirect.com/science/article/pii/S1871187125002342;ScienceDirect;measuring early engineering interest: a scale for kindergarteners
Xukai Zhang and Nan Zhang and Jingyuan Lin and Wuji Lin and Zongling He and Hong Li;Neural and behavioral signatures of feedback-based adjustment bias in response to infant cries;2025;218;Desconocido;109253;Desconocido;"Infant crying is a critical signal that prompts caregiving, yet the neurobehavioral mechanisms underlying how individuals adapt to feedback in this context are underexplored. Here, in 34 young adults (18 female; age from 19 to 26 years) with no prior caregiving experience, we used an infant cry feedback paradigm to characterize individual differences in behavioral adjustment and their neural correlates. Participants judged the cause of infant cries while their reaction time changes (ΔRT) and EEG were recorded. Our results revealed context-specific adjustment biases unique to infant cries, distinct from responses to animal vocalizations. Within the infant crying context, a negative-feedback bias (slowing after negative feedback) correlated with higher self-reported caregiving sensitivity, whereas a positive-feedback bias (slowing after positive feedback) correlated with lower caregiving motivation. Inter-subject representational similarity analysis (IS-RSA) further revealed a key asymmetry in neural responses, showing that higher negative-feedback bias was associated with greater inter-subject neural similarity during negative feedback (480–1000 ms) and positive feedback (600–700 ms), whereas higher positive-feedback bias was associated with more idiosyncratic neural patterns. Furthermore, a mediation analysis showed that the influence of the Late Positive Potential (LPP) on caregiving sensitivity was fully mediated by these behavioral adjustments, where lower LPP amplitudes predicted greater slowing after negative feedback, which in turn predicted higher intended infant caregiving sensitivity. These findings link specific behavioral adjustments to an asymmetric neural similarity structure, offering potential markers for caregiving dispositions and highlighting the importance of feedback processing in caregiver-infant interactions.";https://doi.org/10.1016/j.neuropsychologia.2025.109253;"Infant cry; Adjustment bias; Feedback processing; EEG; Caregiving response";Neuropsychologia;https://www.sciencedirect.com/science/article/pii/S0028393225001885;ScienceDirect;neural and behavioral signatures of feedback-based adjustment bias in response to infant cries
Pablo López-Aguilar and Carlota Urruela and Edgar Batista and Juvenal Machin and Agusti Solanas;Phishing vulnerability and personality traits: Insights from a systematic review;2025;20;Desconocido;100784;Desconocido;Phishing attacks have gained prominence and effectiveness over the years. Although many efforts are devoted to combat them, generic anti-phishing awareness and training campaigns have shown limited success. In this context, considering individuals’ personality traits in relation to phishing behaviour could significantly enhance cybersecurity defence strategies. In this article, we concentrate on personality traits and their effects on vulnerability to phishing attacks. We implement a rigorous systematic review following the methodology proposed by vom Brocke et al. (2009) along with the PRISMA statement. We searched five major databases (i.e., Web of Science, Scopus, IEEE Xplore, ACM Digital Library, and PubMed), with an all-years’ time span from 1900 to January 2025. From the 1919 articles yielded in the initial search, 26 satisfied all criteria. Results reveal that extraversion, agreeableness, and neuroticism generally show a positive association with phishing vulnerability, whereas conscientiousness emerges as a protective factor. The review also highlights significant gaps in the current methodologies used to measure phishing vulnerability, noting a lack of standardised measurement tools to perform phishing experiments. Finally, this study underscores the need to develop secondary prevention strategies targeting at-risk groups to combat the increasingly sophisticated phishing threats. To enhance consistency in future research, the Appendix includes guidelines for measuring phishing vulnerability under experimental conditions.;https://doi.org/10.1016/j.chbr.2025.100784;"Big Five personality traits; Phishing vulnerability; Systematic review; Phishing experiments; Cybercrime prevention";Computers in Human Behavior Reports;https://www.sciencedirect.com/science/article/pii/S245195882500199X;ScienceDirect;phishing vulnerability and personality traits: insights from a systematic review
Yucong Lao and Noora Hirvonen and Stefan Larsson;Everyday encounters with deepfakes: young people’s media and information literacy practices with AI-generated media;2024;81;7;216;235;"Purpose
This research aims to contribute to the knowledge related to youth’s media and information literacy (MIL) practices when encountering artificial intelligence (AI)-generated media in their everyday life. It specifically examines young people’s engagement with and understanding of deepfakes, seeking to explore their practices for navigating deepfakes in a daily setting.
Design/methodology/approach
Employing a qualitative research strategy, in-depth interviews were conducted to collect empirical material from 20 young participants aged 14–15 years. The empirical data were coded both inductively and deductively, leading to the identification of young people’s doings and sayings as they encounter, respond to and understand deepfakes.
Findings
The findings highlight the young participants’ serendipitous exposure to, and subsequent engagement with, deepfake content in their everyday lives, particularly through the situations, platforms and types of content in which these encounters occurred. While interaction with deepfake content was mostly characterized as casual, there are also more active responses to encountering deepfakes. Additionally, the results shed light on the participants’ understandings of deepfakes, particularly in terms of content creation, societal impact and underlying AI techniques. This understanding is proposed as a critical sub-element within the MIL framework in this study.
Originality/value
This study stresses the complexities of young people’s everyday MIL practices with emerging media, pointing to the inherent challenges they face in navigating an increasingly complicated information landscape.";https://doi.org/10.1108/JD-01-2025-0007;"Media and information literacy; Information practice; Generative AI; AI-generated media; Deepfake; Young people";Journal of Documentation;https://www.sciencedirect.com/science/article/pii/S0022041825000025;ScienceDirect;everyday encounters with deepfakes: young people’s media and information literacy practices with ai-generated media
Wen Ma and Qingsong Liu;Language and health studies in the era of holistic health: Achievements and prospects;2023;1;2;1;11;Language and health studies is scientific, pioneering and promising in nature given the close yet intricate relationship between human’s language and health. A diverse range of research topics encompasses the panorama of language and health studies, with the overarching objective of promoting the holistic well-being of individuals across the entire spectrum of age demographics, spanning from children, through adults, to the elderly. The present systematic review corroborates a flourishing trajectory of language and health research over the past three decades. Language disorders and speech-language pathology are among the most critical research topics in the field, with a primary focus on diagnosis and intervention. There are also rich investigations of language and mental health disorders in atypical populations. Clinical analysis, applied conversation analysis and narrative medicine are the three important approaches to the examination of communication in medical and healthcare interactions, which is crucial to public health promotion. The application of cutting-edge technologies and interdisciplinary cooperation can provide innovative solutions to the difficulties and challenges that arise in this field.;https://doi.org/10.1016/j.laheal.2023.11.001;"Language and health study; Language disorder; Speech-language pathology; Mental health disorder; Communication in medical settings; Public health promotion; Interdisciplinary";Language and Health;https://www.sciencedirect.com/science/article/pii/S2949903823000362;ScienceDirect;language and health studies in the era of holistic health: achievements and prospects
Chen Chen and Ayman Maqsood and Zhuang Zhang and Xiaobing Wang and Linrui Duan and Huanhuan Wang and Tianyang Chen and Siyu Liu and Qiutong Li and Jingshan Luo and T. Jesper Jacobsson;The use of ChatGPT to generate experimentally testable hypotheses for improving the surface passivation of perovskite solar cells;2024;5;7;102058;Desconocido;"Summary
Hypothesis formulation is a creative process fundamental to scientific exploration, and there is an increasing interest in using generative AI to augment humans in this regard. This study explores the potential of large language models, particularly ChatGPT, to generate viable hypotheses within experimental materials science. Focusing on the subdomain of surface passivation of hybrid perovskites, our aim is to identify untested molecules capable of reducing surface recombination and thereby boost the efficiency of perovskite solar cells. By utilizing ChatGPT to brainstorm ideas and formulate new hypotheses, we identify polyallylamine (PAA) as a potential surface modifier, which is a molecule we would not have considered otherwise. Subsequent experimental investigations demonstrate PAA to indeed be effective in decreasing recombination rates and improving device efficiency. This demonstrates a potent synergy between human expertise and AI capabilities also in more intellectual and intuitive facets of the scientific process, such as hypothesis generation.";https://doi.org/10.1016/j.xcrp.2024.102058;"perovskites; hybrid perovskites; solar cells; artificial intelligence; AI; generative AI; ChatGPT; surface passivation";Cell Reports Physical Science;https://www.sciencedirect.com/science/article/pii/S2666386424003278;ScienceDirect;the use of chatgpt to generate experimentally testable hypotheses for improving the surface passivation of perovskite solar cells
Luciano Bosso and Raffaele Panzuto and Rosario Balestrieri and Sonia Smeraldo and Maria Luisa Chiusano and Francesca Raffini and Daniele Canestrelli and Luigi Musco and Claudia Gili;Integrating citizen science and spatial ecology to inform management and conservation of the Italian seahorses;2024;79;Desconocido;102402;Desconocido;Citizen science and spatial ecology analyses can inform species distributions, habitat preferences, and threats in elusive and endangered species such as seahorses. Through a dedicated citizen science survey submitted to the Italian diving centers, we collected 115 presence records of the two seahorses occurring along the Italian coasts: Hippocampus hippocampus and H. guttulatus. From this dataset, we used 85 seahorse valitaded records to identify the ecological features of these two poorly known species and quantify the effects of human activities on their habitat suitability through geographic information systems and species distribution modelling. Our results indicated a continuous suitable area for both seahorses along the Italian coasts, with a single major gap in the central Adriatic Sea (Emilia-Romagna and Marche regions). They co-occurred in most of their Italian range, particularly in the central and southern Tyrrhenian coasts, and their ecological niches resulted to be significantly similar, although not equivalent. The least-cost paths of both species were concentrated in southern Italy (Apulia, Calabria, and Sicily), suggesting that more data is needed to improve the spatial resolution of the available information, especially in the northern and central Italy. Human activities influenced 38% and 42% of the habitat suitability of H. hippocampus and H. guttulatus, respectively, while only 25% and 30% of their potential distributions, respectively, are protected by Italy's existing conservation area system, in accordance with the global average for seahorses. In particular, the central Adriatic Sea represents a critical area where the occurrence of these seahorses is lower and the anthropic impact is higher. Considering all the Italian regions, fishing effort is the main human activity impacting both species. These findings will support the implementation of more efficient conservation actions. We encourage the application and interaction of citizen science and spatial ecology analyses to facilitate the assessment and sustainable management of elusive organisms.;https://doi.org/10.1016/j.ecoinf.2023.102402;"Conservation biology; Ecological corridor; GIS analysis; Marine citizen science; Risk map; Seahorse; Species distribution model; Wildlife management";Ecological Informatics;https://www.sciencedirect.com/science/article/pii/S1574954123004314;ScienceDirect;integrating citizen science and spatial ecology to inform management and conservation of the italian seahorses
Chen Chen and Ayman Maqsood and Zhuang Zhang and Xiaobing Wang and Linrui Duan and Huanhuan Wang and Tianyang Chen and Siyu Liu and Qiutong Li and Jingshan Luo and T. Jesper Jacobsson;The use of ChatGPT to generate experimentally testable hypotheses for improving the surface passivation of perovskite solar cells;2024;5;7;102058;Desconocido;"Summary
Hypothesis formulation is a creative process fundamental to scientific exploration, and there is an increasing interest in using generative AI to augment humans in this regard. This study explores the potential of large language models, particularly ChatGPT, to generate viable hypotheses within experimental materials science. Focusing on the subdomain of surface passivation of hybrid perovskites, our aim is to identify untested molecules capable of reducing surface recombination and thereby boost the efficiency of perovskite solar cells. By utilizing ChatGPT to brainstorm ideas and formulate new hypotheses, we identify polyallylamine (PAA) as a potential surface modifier, which is a molecule we would not have considered otherwise. Subsequent experimental investigations demonstrate PAA to indeed be effective in decreasing recombination rates and improving device efficiency. This demonstrates a potent synergy between human expertise and AI capabilities also in more intellectual and intuitive facets of the scientific process, such as hypothesis generation.";https://doi.org/10.1016/j.xcrp.2024.102058;"perovskites; hybrid perovskites; solar cells; artificial intelligence; AI; generative AI; ChatGPT; surface passivation";Cell Reports Physical Science;https://www.sciencedirect.com/science/article/pii/S2666386424003278;ScienceDirect;the use of chatgpt to generate experimentally testable hypotheses for improving the surface passivation of perovskite solar cells
Luciano Bosso and Raffaele Panzuto and Rosario Balestrieri and Sonia Smeraldo and Maria Luisa Chiusano and Francesca Raffini and Daniele Canestrelli and Luigi Musco and Claudia Gili;Integrating citizen science and spatial ecology to inform management and conservation of the Italian seahorses;2024;79;Desconocido;102402;Desconocido;Citizen science and spatial ecology analyses can inform species distributions, habitat preferences, and threats in elusive and endangered species such as seahorses. Through a dedicated citizen science survey submitted to the Italian diving centers, we collected 115 presence records of the two seahorses occurring along the Italian coasts: Hippocampus hippocampus and H. guttulatus. From this dataset, we used 85 seahorse valitaded records to identify the ecological features of these two poorly known species and quantify the effects of human activities on their habitat suitability through geographic information systems and species distribution modelling. Our results indicated a continuous suitable area for both seahorses along the Italian coasts, with a single major gap in the central Adriatic Sea (Emilia-Romagna and Marche regions). They co-occurred in most of their Italian range, particularly in the central and southern Tyrrhenian coasts, and their ecological niches resulted to be significantly similar, although not equivalent. The least-cost paths of both species were concentrated in southern Italy (Apulia, Calabria, and Sicily), suggesting that more data is needed to improve the spatial resolution of the available information, especially in the northern and central Italy. Human activities influenced 38% and 42% of the habitat suitability of H. hippocampus and H. guttulatus, respectively, while only 25% and 30% of their potential distributions, respectively, are protected by Italy's existing conservation area system, in accordance with the global average for seahorses. In particular, the central Adriatic Sea represents a critical area where the occurrence of these seahorses is lower and the anthropic impact is higher. Considering all the Italian regions, fishing effort is the main human activity impacting both species. These findings will support the implementation of more efficient conservation actions. We encourage the application and interaction of citizen science and spatial ecology analyses to facilitate the assessment and sustainable management of elusive organisms.;https://doi.org/10.1016/j.ecoinf.2023.102402;"Conservation biology; Ecological corridor; GIS analysis; Marine citizen science; Risk map; Seahorse; Species distribution model; Wildlife management";Ecological Informatics;https://www.sciencedirect.com/science/article/pii/S1574954123004314;ScienceDirect;integrating citizen science and spatial ecology to inform management and conservation of the italian seahorses
